ctry,station_name,stid
SW,KARLSTAD          &,020730nan
SW,OREBRO/EKEBY,020740nan
SW,VASTERAS/HASSLO AFB,020750nan
SW,UPPSALA           &,020760nan
SW,STOCKHOLM/BROMMA  &,020770nan
SW,SATENAS (SWE-AFB),020790nan
SW,KARESUANDO,020800nan
SW,KARESUANDO,020810nan
SW,LANDSORT          &,020820nan
SW,GOTSKA SANDON     &,020830nan
SW,LANNAVAARA        &,020840nan
SW,RANGEDALA (AUTO),020850nan
SW,LAINIO,020860nan
SW,JONKOPING         &,020870nan
SW,KOMPELUSVAARA,020880nan
SW,OLANDS NORRA UDDE &,020890nan
SW,VISBY             &,020900nan
SW,VISBY-SOL,020910nan
SW,MUODOSLOMPOLO,020920nan
SW,VAXJO             &,020930nan
SW,UNGSKAR,020940nan
SW,PAJALA,020950nan
SW,PAJALA,020960nan
SZ,MALMO /BULLTOFTON,020970nan
SW,MALMO/STURUP,020980nan
SW,YSTAD             &,020990nan
SW,NAIMAKKA,021000nan
SW,HEMAVAN,021010nan
SW,STEKENJOKK,021020nan
SW,HEMAVAN-GIEREVARTO,021030nan
SW,HEMAVAN,021040nan
SW,ABELVATTNET,021050nan
SW,JOKKMOKK (SWE-AFB),021060nan
SW,KLIMPFJALL,021080nan
SW,ABRAUR,021090nan
SW,GIELAS,021100nan
SW,VIDSEL (SWE-AFB),021110nan
SW,SYLARNA,021120nan
SW,NORRAKER,021140nan
SW,STORLIEN-VISJOVALE&,021150nan
SW,MORSIL,021160nan
SW,NORDMALING,021170nan
SW,DIKANAS/SKANSNAS,021180nan
SW,KVIKKJOKK ARRENJARKA,021190nan
SW,KVIKKJOKK-ARRENJARKA,021200nan
SW,STORUMAN,021205nan
SW,MIERKENIS,021210nan
SW,STENUDDEN,021220nan
SW,JAKKVIK,021230nan
SW,ARJEPLOG,021240nan
SW,OSTMARK,021250nan
SW,GUNNARN,021260nan
SW,STENSELE,021270nan
SW,GUNNARN,021280nan
SW,GUNNARN SOL (AUT),021290nan
SW,ROPARUDDEN,021300nan
SW,ARVIKA,021310nan
SW,SNAVLUNDA,021330nan
SW,BURESJON,021350nan
SW,STORBERG,021360nan
SW,GRUNDKALLEN,021380nan
SW,TJAKAAPE,021410nan
SW,JOKKMOKK,021420nan
SW,PALJAMYREN,021430nan
SW,ABRAUR,021440nan
SW,TELLEJAUR,021450nan
SW,VAJMAT,021460nan
SW,MALA-BRANNAN,021470nan
SW,NORRKOPING/BRAVALLA,021480nan
SW,ARVIDSJAUR,021490nan
SW,NYKOPING/SKAVST AFB,021500nan
SW,JOKKMOKK FPL,021510nan
SW,SUDOK,021520nan
SW,VIDSEL,021540nan
SW,HAGSHULT (SWE-AFB),021550nan
SW,STENSJON (AUT),021560nan
SW,FALLFORS,021580nan
SW,FALLFORS,021590nan
SW,NATTAVAARA,021600nan
SW,NATTAVAARA,021610nan
SW,MARKARYD,021620nan
SW,LJUNGBYHED(SWE-AFB),021630nan
SW,PALKEM,021640nan
SW,RONNEBY (SWE-AFB),021660nan
SW,FALSTERBO (LGT-H),021670nan
SW,HEDEN,021690nan
SW,SAVAST,021700nan
SW,BODEN,021710nan
SW,ALVSBYN,021720nan
SW,ALVSBYN,021730nan
SW,LAKATRASK,021740nan
SW,PITE-RONNSKAR,021760nan
SW,OVERKALIX SVARTBYN,021810nan
SW,OVERKALIX,021820nan
SW,LULEA-SOL,021830nan
SW,PAHAROVA,021840nan
SW,LULEA-KALLAX,021850nan
SW,KALLAX,021860nan
SW,RODKALLEN,021880nan
SW,KORPILOMBOLO,021900nan
SW,STORON,021910nan
SW,HAPARANDA,021960nan
SW,HAPARANDA,021970nan
SW,YLINENJARVI,021990nan
SW,EDEVIK,022000nan
SW,TORNETRASK LAKE,022020nan
SW,NIKKALUOKTA,022040nan
SW,STORLIEN-STORVALLEN,022060nan
SW,STORLIEN-VISJOVALEN A,022070nan
SW,SYLARNA,022090nan
SW,BLAHAMMAREN,022100nan
SW,ARESKUTAN,022150nan
SW,MATTMAR,022160nan
SW,ARE,022170nan
SW,MORSIL,022180nan
SW,GADDEDE A,022190nan
SW,KORSVATTNET,022210nan
SW,GADDEDE,022220nan
SW,STEMSJON (AUT),022230nan
SW,FOLLINGE-VAGSKALET,022240nan
SW,OSTERSUND,022260nan
SW,KALIX,022271nan
SW,EDEVIK,022280nan
SW,OSTERSUND-SOL,022290nan
SW,GUBBHOGEN,022300nan
SW,FOLLINGE,022310nan
SW,NORRAKER,022320nan
SW,SAXNAS,022330nan
SW,STROMSUND,022340nan
SW,HALLHAXASEN,022360nan
SW,HOTING,022420nan
SW,JUNSELE,022430nan
SW,JUNSELE,022440nan
SW,VILHELMINA,022450nan
SW,LYCKSELE,022455nan
SW,KRANGEDE,022470nan
SW,KRANGEDE,022480nan
SW,STORSJO KAPELL,022510nan
SW,IDVATTNET,022520nan
SW,ASELE,022540nan
SW,FRANSTA,022550nan
SW,RISTRASK,022560nan
SW,FLOTNINGEN,022570nan
SW,VINDEL-BJORKHEDEN,022580nan
SW,KRAMFORS SOLLEFTEA,022590nan
SW,VASTMARKUM,022600nan
SW,LYCKSELE,022610nan
SW,VUOGGATJALME,022620nan
SW,FREDRIKA,022630nan
SW,FREDRIKA,022640nan
SW,HEMLING,022650nan
SW,VILHELMINA (AUTO),022660nan
SW,ORNSKOLDSVIK,022670nan
SW,SKAGSUDDE,022690nan
SW,NORSJO,022700nan
SW,NORSJO,022710nan
SW,VINDELN,022740nan
SW,NORDMALING,022760nan
SW,KRANGEDE (AUTO),022780nan
SW,SKILLINGMARK,022790nan
SW,BLOMSKOG,022800nan
SW,AMAL,022810nan
SW,PETISTRASK,022820nan
SW,UMEA-SOL,022830nan
SW,JARNASKLUBB,022840nan
SW,UMEA,022860nan
SW,SODERHAMN,022861nan
SW,HOLMON,022870nan
SW,HOLMOGADD,022880nan
SW,SYDOSTBROTTEN (LH),022890nan
SW,FURUOGRUND        &,022900nan
SW,HOKMARKSBERGET,022920nan
SW,SKELLEFTEA,022930nan
SW,BJUROKLUBB (LGT-H),022960nan
SW,BJUROKLUBB,022970nan
SW,SVARTEBORG,022980nan
SW,FJALLNAS,023000nan
SW,STORBO,023020nan
SW,FLATRUET,023030nan
SW,FLOTNINGEN,023040nan
SW,NASHUVUD,023050nan
SW,RORBACKSNAS,023060nan
SW,IDRE FJALL,023070nan
SW,TANNAS,023080nan
SW,STORSJO KAPELL,023100nan
SW,HOGFJALLSHOTELLET,023110nan
SW,MALEXANDER,023120nan
SW,VISINGSO,023130nan
SW,LOFSDALEN,023140nan
SW,TYLLINGE,023141nan
SW,SARNA,023160nan
SW,DRAVAGEN,023170nan
SW,TANDADALEN,023180nan
SW,BORTNAN,023190nan
SW,AMBJORNARP,023191nan
SW,TINGHALLA,023201nan
SW,ALVDALEN,023210nan
SW,KLOVSJO,023230nan
SW,SVEG,023240nan
SW,KLOVSJOHOJDEN,023250nan
SW,FREDRIKA,023260nan
SW,SVEG A,023270nan
SW,KRAMFORS (SWE-AFB),023280nan
SW,HAMRA,023290nan
SW,HUNGE,023300nan
SW,HUNGE,023310nan
SW,FAGERHULT,023321nan
SW,LJUNGBY,023330nan
SW,FINNEBY,023340nan
SW,EDSBYN,023360nan
SW,NORRHOG,023370nan
SW,EDSBYN,023380nan
SW,FRANSTA,023420nan
SW,TORPSHAMMAR,023430nan
SW,SJOBO,023451nan
SW,DELSBO,023460nan
SW,DELSBO,023470nan
SW,SILLRE,023490nan
SW,RASTA,023540nan
SW,KUGGOREN,023550nan
SW,SKELLEFTEA AIRPORT,023600nan
SW,HARNOSAND,023610nan
SW,ORNSKOLDSVIK ARPT,023640nan
SW,SUNDSVALL-HARNOSAND,023650nan
SW,SUNDSVALL HARNOSAND,023660nan
SW,ALNON ISLAND,023670nan
SW,BRAMON,023680nan
SW,GAVLE/SANDVIKEN AFB,023700nan
SW,BORLANGE (SWE-AFB),023710nan
SW,ESKILSTUNA(SWE-AFB&,023750nan
SW,SODERHAMN (SWE-AFB),023760nan
SW,SODERHAMN FLYGPLATS,023780nan
SW,NORRKOPING/KUNGSANG,023810nan
SW,LUNGO,023820nan
SW,KRISTIANSTAD/EVEROD,023980nan
SW,OSTMARK,024000nan
SW,SKILLINGMARK,024020nan
SW,NAVEN,024030nan
SW,ARVIKA,024040nan
SW,BLOMSKOG,024060nan
SW,MALUNG A,024070nan
SW,BLOMSKOG,024080nan
SW,AMAL,024090nan
SW,MALUNG,024100nan
SW,ARVIKA,024110nan
SW,GUSTAVSFORS,024120nan
SW,BRATTMON,024130nan
SW,KARLSTAD SOL,024150nan
SW,MOLKOM,024161nan
SW,PALGRUNDEN,024170nan
SW,KARLSTAD,024180nan
SW,KARLSTAD SOL,024190nan
SW,MOCKFJARD,024200nan
SW,ASPHYTTAN,024220nan
SW,SUNNE,024230nan
SW,STALLDALEN,024240nan
SW,GUSTAVSFORS,024260nan
SW,ATORP,024280nan
SW,OREBRO,024283nan
SW,MORA,024284nan
SW,TORSBY,024285nan
SW,DAGLOSEN,024290nan
SW,BACKA,024300nan
SW,KLOTEN,024310nan
SW,OREBRO,024320nan
SW,FALUN,024330nan
SW,BORLANGE,024350nan
SW,OREBRO/EKEBY (DEAD),024360nan
SW,ARBOGA,024373nan
SW,FELLINGSBRO-FINNAKE,024390nan
SW,AMOT,024400nan
SW,MORA,024410nan
SW,ENKOPING,024430nan
SW,FOLKARNA,024440nan
SW,VASTERAS,024460nan
SW,DUNKER,024480nan
SW,ESKILSTUNA A,024490nan
SW,EGGEGRUND,024500nan
SW,VASTRA BANKEN (AUT),024510nan
SW,KILSBERGEN-SUTTARBODA,024520nan
SW,GAVLE/SANDVIKEN AIR FORCE BASE,024530nan
SW,UTVALNAS,024540nan
SW,FILM,024560nan
SW,UPPSALA,024580nan
SW,ARLANDA,024600nan
SW,UPPSALA UNIVERSITY,024620nan
SW,BROMMA,024640nan
SW,STOCKHOLM/BROMMA UA,024650nan
SW,STORA SPANSBERGET,024680nan
SW,TULLINGE,024690nan
SW,ORSKAR (LGT-H),024700nan
SW,GRUNDKALLEN,024710nan
SW,SKEPPMORA,024720nan
SW,UNDERSTEN (LGT-H),024730nan
SW,SINGO ISLAND,024740nan
SW,FLODA,024760nan
SW,NORRTALJE/VASBY,024800nan
SW,SALA,024810nan
SW,KERSTINBO,024820nan
SW,STOCKHOLM-SOL,024830nan
SW,STOCKHOLM/OBSERVATORIET,024840nan
SW,STOCKHOLM,024850nan
SW,SKAVSTA,024853nan
SW,ADELSO,024860nan
SW,SKARPO A,024870nan
SW,ORSKAR,024880nan
SW,BERGA,024890nan
SW,SVANBERGA,024900nan
SW,SODERARM,024930nan
SW,BJUROKLUBB (LGT-H),024940nan
SW,SVENSKA BJORN (AUT),024950nan
SW,SVENSKA HOGARNA,024960nan
SW,SVENSKA HOGARNA A,024980nan
SW,ALMAGRUNDET,024990nan
SW,NORDKOSTER,025000nan
SW,VADEROARNA,025010nan
SW,DALS-ED,025020nan
SW,SVARTEBORG,025040nan
SW,MASESKAR,025050nan
SW,HUD,025070nan
SW,MASESKAR (LGT-H),025080nan
SW,LJUNGSKILE,025100nan
SW,TROLLHATTAN VANERSBORG,025103nan
SW,LIDKOPING,025105nan
SW,FLADEN,025110nan
SW,SAVE,025120nan
SW,GOTEBORG,025130nan
SW,ARVIDSJAUR,025140nan
SW,TORPABRON,025150nan
SW,VINGA,025160nan
